,ID,MONTHS_BALANCE,STATUS,CODE_GENDER,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,CNT_FAM_MEMBERS,Letter,Empleo,BIRTH
35,5008872,0.0,0,1,0.0,360000.0,0,4,1,1,2.0,W,1,1977-07-01
36,5008873,0.0,C,0,2.0,126000.0,0,1,1,1,4.0,G,1,1989-02-27
37,5008874,0.0,C,0,0.0,126000.0,0,1,1,1,4.0,H,1,1989-02-27
38,5008875,0.0,C,0,2.0,126000.0,0,1,1,1,4.0,Y,1,1989-02-27
39,5008876,0.0,C,0,2.0,126000.0,0,1,1,1,4.0,L,1,1989-02-27
40,5008877,0.0,C,0,2.0,126000.0,0,1,1,1,4.0,T,1,1989-02-27
41,5008879,0.0,C,0,2.0,126000.0,0,1,1,1,4.0,L,1,1989-02-27
42,5008880,0.0,C,0,2.0,126000.0,0,1,1,1,3.9014999092918394,K,1,1989-02-27
43,5008881,0.0,C,0,2.0,72000.0,0,1,1,1,4.0,H,1,1989-02-27
44,5008884,0.0,C,0,0.0,315000.0,1,4,4,1,1.0,U,0,1967-11-15
45,5008889,0.0,0,0,0.0,247500.0,0,1,2,4,1.0,L,1,1976-07-20
46,5008891,0.0,C,0,0.0,297000.0,0,4,3,1,1.0,R,1,1980-08-25
47,5008893,0.0,C,0,0.0,297000.0,0,4,3,4,1.0,G,1,1980-08-25
48,5008894,0.0,C,0,0.0,297000.0,0,4,3,4,1.0,A,1,1980-08-25
49,5008895,0.0,C,0,0.0,297000.0,0,4,3,4,1.0,P,1,1980-08-25
50,5008912,0.0,C,0,0.0,297000.0,0,4,3,4,1.0,F,1,1980-08-25
51,5008914,0.0,C,0,0.0,297000.0,0,4,3,4,1.0,U,1,1980-08-25
52,5008916,0.0,C,0,0.0,297000.0,0,4,3,1,1.0,E,1,1980-08-25
53,5008918,0.0,C,0,0.0,297000.0,0,4,3,4,1.0,E,1,1980-08-25
54,5008919,0.0,C,0,0.0,297000.0,0,4,3,4,1.0,T,1,1980-08-25
55,5008920,0.0,C,0,0.0,297000.0,0,4,3,4,1.0,G,1,1980-08-25
56,5008921,0.0,C,0,0.0,297000.0,0,4,3,4,1.0,W,1,1980-08-25
57,5008922,0.0,C,0,0.0,297000.0,0,4,3,4,1.0,A,1,1980-08-25
58,5008923,0.0,C,0,0.0,297000.0,0,4,3,4,1.0,O,1,1980-08-25
59,5008924,0.0,C,0,0.0,297000.0,0,4,3,4,1.0,K,1,1980-08-25
60,5008925,0.0,C,0,0.0,297000.0,0,4,3,4,1.0,Y,1,1980-08-25
61,5008926,0.0,0,0,0.0,135000.0,1,4,3,4,1.0,R,1,1980-08-25
62,5008927,0.0,C,0,0.0,297000.0,0,4,3,4,1.0,B,1,1980-08-25
63,5008928,0.0,1,0,0.0,297000.0,0,4,3,4,1.0,M,1,1980-08-25
64,5008929,0.0,C,0,0.0,297000.0,0,4,3,4,1.0,Z,1,1980-08-25
65,5008930,0.0,0,0,0.0,297000.0,0,4,1,4,1.0,H,1,1980-08-25
66,5008931,0.0,C,0,0.0,297000.0,0,4,3,1,1.0,Y,1,1980-08-25
67,5008932,0.0,0,0,0.0,297000.0,0,4,3,4,1.0,P,1,1980-08-25
68,5008933,0.0,C,0,0.0,297000.0,0,4,3,4,1.0,G,1,1980-08-25
69,5008934,0.0,C,0,0.0,225000.0,0,4,3,4,1.0,U,1,1980-08-25
70,5008935,0.0,C,0,0.0,297000.0,0,4,3,4,1.0,N,1,1980-08-25
71,5008936,0.0,C,0,0.0,297000.0,0,4,3,4,1.0,J,1,1980-08-25
72,5008937,0.0,C,0,0.0,297000.0,0,4,3,4,1.0,R,1,1978-01-22
73,5008938,0.0,C,0,0.0,270000.0,0,4,3,4,1.0,S,1,1980-08-25
74,5008939,0.0,C,0,0.0,297000.0,0,4,3,4,1.0,F,1,1980-08-25
75,5008940,0.0,C,0,0.0,297000.0,1,4,3,4,1.0,N,1,1980-08-25
76,5008941,0.0,C,0,0.0,297000.0,0,4,3,4,1.0,R,1,1980-08-25
77,5008943,0.0,X,0,0.0,157500.0,0,1,1,1,2.0,W,1,1985-10-15
78,5008947,0.0,X,1,0.0,135000.0,4,4,1,1,2.0,O,1,1980-09-29
79,5008949,0.0,X,1,0.0,135000.0,4,4,1,1,2.0,N,1,1980-09-29
80,5008950,0.0,X,1,0.0,135000.0,4,4,1,1,2.0,B,1,1980-09-29
81,5008951,0.0,C,1,1.0,225000.0,4,4,1,1,3.0,L,1,1994-11-18
82,5008953,0.0,X,1,1.0,225000.0,4,4,1,1,3.0,W,1,1994-11-18
83,5008954,0.0,0,0,1.0,225000.0,4,4,1,1,3.0,M,1,1994-11-18
84,5008955,0.0,0,0,0.0,135000.0,4,4,1,1,2.0,B,1,1974-06-12
85,5008956,0.0,C,0,0.0,135000.0,4,4,1,1,2.0,I,1,1974-06-12
86,5008958,0.0,0,0,0.0,135000.0,4,4,1,1,2.0,W,1,1974-06-12
87,5008959,0.0,C,0,0.0,135000.0,4,4,1,1,2.0,M,1,1974-06-12
88,5008960,0.0,C,0,0.0,135000.0,4,4,1,1,2.0,Y,1,1974-06-12
89,5008962,0.0,C,0,0.0,135000.0,4,4,1,1,2.0,M,1,1974-06-12
90,5008963,0.0,C,0,0.0,135000.0,4,4,1,1,2.0,G,1,1974-06-12
91,5008966,0.0,0,1,0.0,157500.0,4,4,1,1,2.0,S,1,1979-04-05
92,5008967,0.0,0,1,0.0,157500.0,4,4,1,1,2.0,K,1,1979-04-05
93,5008973,0.0,0,1,0.0,225000.0,4,4,1,1,2.0,D,1,1985-11-04
94,5008976,0.0,0,0,0.0,112500.0,1,4,1,1,2.0,Q,0,1962-01-12
95,5008977,0.0,0,0,0.0,112500.0,1,4,1,1,2.0,U,0,1962-01-12
96,5008979,0.0,C,0,0.0,112500.0,1,4,1,1,2.0,S,0,1966-11-27
97,5008981,0.0,X,0,0.0,112500.0,2,4,1,1,2.0,S,1,1965-12-27
98,5008984,0.0,C,1,0.0,112500.0,2,4,1,1,2.0,O,1,1965-12-27
99,5008986,0.0,X,1,0.0,112500.0,2,4,1,1,2.0,K,1,1965-12-27
100,5008987,0.0,C,1,0.0,112500.0,2,4,1,1,2.0,H,1,1965-12-27
101,5008988,0.0,X,1,0.0,112500.0,2,4,1,1,2.0,T,1,1965-12-27
102,5008992,0.0,C,0,0.0,270000.0,4,4,2,1,1.0,I,1,1977-09-27
103,5008993,0.0,0,0,0.0,270000.0,4,4,2,1,1.0,M,1,1977-09-27
104,5008994,0.0,0,0,0.0,270000.0,4,4,2,1,1.0,N,1,1977-09-27
105,5009000,0.0,C,1,0.0,157500.0,4,4,1,1,2.0,Y,1,1995-12-17
106,5009012,0.0,0,1,0.0,166500.0,4,4,1,1,2.0,Q,1,1971-04-28
107,5009016,0.0,C,0,2.0,216000.0,2,1,1,1,4.0,D,1,1980-11-08
108,5009019,0.0,0,0,2.0,216000.0,2,1,1,1,4.0,V,1,1980-11-08
109,5009023,0.0,C,0,2.0,216000.0,2,1,1,1,4.0,G,1,1980-11-08
110,5009024,0.0,C,0,2.0,216000.0,2,1,1,1,4.0,T,1,1980-11-08
111,5009025,0.0,C,0,2.0,216000.0,2,1,1,1,4.0,S,1,1980-11-08
112,5009027,0.0,0,0,0.0,270000.0,0,4,1,1,2.0,U,1,1968-10-05
113,5009029,0.0,C,0,0.0,225000.0,0,4,1,1,2.0,F,1,1983-07-30
114,5009031,0.0,C,0,0.0,315000.0,4,4,3,1,1.0,U,1,1994-03-30
115,5009032,0.0,C,0,0.0,315000.0,4,4,3,1,1.0,P,1,1994-03-30
116,5009033,0.0,X,0,0.0,255150.0,1,2,0,4,2.0,Y,0,1971-12-28
117,5009035,0.0,X,0,0.0,255150.0,1,2,0,4,2.0,P,0,1971-12-28
118,5009036,0.0,C,0,0.0,255150.0,1,2,0,4,2.0,I,0,1971-12-28
119,5009037,0.0,X,0,0.0,255150.0,1,2,0,4,2.0,S,0,1971-12-28
120,5009038,0.0,X,0,0.0,255150.0,1,2,0,4,2.0,E,0,1971-12-28
121,5009039,0.0,C,0,2.0,157500.0,4,4,3,1,3.0,Z,1,1983-12-01
122,5009040,0.0,C,0,2.0,157500.0,4,4,3,1,3.0,E,1,1983-12-01
123,5009042,0.0,X,0,0.0,148500.0,4,4,1,1,2.0,T,1,1974-11-03
124,5009046,0.0,0,0,0.0,148500.0,4,1,1,1,2.0,K,1,1974-11-03
125,5009047,0.0,0,0,0.0,148500.0,4,1,1,1,2.0,V,1,1974-11-03
126,5009052,0.0,C,0,2.0,202500.0,4,1,1,1,4.0,P,1,1993-01-11
127,5009057,0.0,0,1,0.0,202500.0,4,4,3,1,1.0,O,1,1998-11-17
128,5009058,0.0,X,0,0.0,112500.0,0,4,3,1,1.0,B,1,2002-08-20
129,5009060,0.0,0,0,0.0,94500.0,1,1,1,1,2.0,U,0,1961-12-31
130,5009063,0.0,C,1,0.0,315000.0,4,4,0,1,2.0,Q,1,1961-12-31
131,5009064,0.0,X,1,0.0,315000.0,4,4,0,1,2.0,T,1,1994-07-12
132,5009065,0.0,X,1,0.0,315000.0,4,4,0,1,2.0,J,1,1994-07-12
133,5009066,0.0,0,1,0.0,315000.0,4,4,0,1,2.0,V,1,1994-07-12
134,5009068,0.0,C,1,0.0,315000.0,4,4,0,1,2.0,N,1,1994-07-12
135,5009069,0.0,C,1,0.0,315000.0,4,4,0,1,2.0,W,1,1994-07-12
136,5009071,0.0,C,0,0.0,270000.0,0,2,0,2,2.0,Y,1,1994-07-12
137,5009074,0.0,0,0,1.0,450000.0,2,1,1,1,3.0,M,1,1974-08-10
138,5009078,0.0,C,1,1.0,180000.0,4,4,1,5,3.0,B,1,1984-06-22
139,5009079,0.0,C,0,0.0,112500.0,4,1,0,1,2.0,S,1,1995-08-02
140,5009080,0.0,C,0,0.0,112500.0,4,1,0,1,2.0,E,1,1995-08-02
141,5009084,0.0,0,1,0.0,90000.0,4,4,1,1,2.0,F,1,1966-12-05
142,5009089,0.0,0,1,2.0,198994.6879327644,0,1,1,1,4.0,E,1,1982-10-23
143,5009090,0.0,0,1,0.0,247500.0,4,4,1,1,2.0,T,1,1988-07-25
144,5009092,0.0,1,1,1.0,765000.0,4,1,1,1,3.0,H,1,1989-09-29
145,5009094,0.0,0,1,1.0,765000.0,4,1,1,1,3.0,V,1,1989-09-29
146,5009095,0.0,0,1,1.0,765000.0,4,1,1,1,3.0,Y,1,1989-09-29
147,5009096,0.0,C,0,1.0,270000.0,0,4,1,1,3.0,S,1,1985-09-08
148,5009098,0.0,C,0,1.0,270000.0,0,4,1,1,3.0,V,1,1985-09-08
149,5009100,0.0,X,0,0.0,315000.0,4,1,2,1,1.0,C,1,1986-10-21
150,5009103,0.0,C,1,2.0,157500.0,4,4,1,5,4.0,U,1,1987-12-07
151,5009104,0.0,X,1,2.0,157500.0,4,4,1,5,4.0,P,1,1987-12-07
152,5009105,0.0,X,1,2.0,157500.0,4,4,1,5,4.0,Q,1,1987-12-07
153,5009106,0.0,X,1,2.0,157500.0,4,4,1,5,4.0,W,1,1987-12-07
154,5009108,0.0,0,1,0.0,360000.0,0,4,1,1,2.0,D,1,1981-03-11
155,5009109,0.0,C,1,0.0,360000.0,0,4,1,1,2.0,P,1,1981-03-11
156,5009110,0.0,0,0,0.0,112500.0,0,1,1,1,2.0,B,1,1998-12-06
157,5009117,0.0,C,0,0.0,157500.0,0,1,2,5,1.0,B,1,1980-01-20
158,5009123,0.0,C,0,0.0,157500.0,0,1,2,5,1.0,Z,1,1980-01-20
159,5009125,0.0,C,0,0.0,157500.0,0,1,2,5,1.0,P,1,1980-01-20
160,5009127,0.0,C,0,0.0,157500.0,0,1,2,5,1.0,B,1,1980-01-20
161,5009129,0.0,C,0,0.0,157500.0,0,1,2,5,1.0,F,1,1980-01-20
162,5009130,0.0,C,0,0.0,157500.0,0,1,2,5,1.0,C,1,1980-01-20
163,5009133,0.0,C,1,0.0,382500.0,1,4,4,1,1.0,A,0,1963-10-20
164,5009134,0.0,C,1,0.0,382500.0,1,4,4,1,1.0,B,0,1963-10-20
165,5009136,0.0,C,1,0.0,382500.0,1,4,4,1,1.0,F,0,1963-10-20
166,5009139,0.0,X,1,0.0,382500.0,1,4,4,1,1.0,Y,0,1963-10-20
167,5009141,0.0,C,0,0.0,135000.0,4,4,0,1,2.0,R,1,1996-09-12
168,5009142,0.0,C,0,0.0,135000.0,4,4,0,1,2.0,U,1,1996-09-12
169,5009143,0.0,C,1,0.0,225000.0,1,4,0,1,2.0,Y,0,1973-01-24
170,5009147,0.0,C,1,0.0,315000.0,4,1,1,1,1.7665798150105874,Q,1,1979-10-24
171,5009149,0.0,C,1,0.0,315000.0,4,1,1,1,2.0,V,1,1979-10-24
172,5009150,0.0,C,1,0.0,315000.0,4,1,1,1,2.0,Q,1,1979-10-24
173,5009151,0.0,C,0,0.0,180000.0,4,4,1,1,2.0,L,1,1969-07-18
174,5009152,0.0,C,0,0.0,180000.0,4,4,1,1,2.0,S,1,1969-07-18
175,5009154,0.0,C,0,0.0,180000.0,4,4,1,1,2.0,A,0,1969-07-18
176,5009155,0.0,C,0,0.0,180000.0,4,4,1,1,2.0,R,1,1969-07-18
177,5009156,0.0,C,0,0.0,180000.0,4,4,1,1,2.0,A,1,1969-07-18
178,5009158,0.0,C,0,0.0,180000.0,4,4,1,1,2.0,Q,1,1969-07-18
179,5009159,0.0,C,0,0.0,180000.0,4,4,1,1,2.0,M,1,1969-07-18
180,5009160,0.0,C,0,0.0,180000.0,4,4,1,1,2.0,Z,1,1969-07-18
181,5009161,0.0,C,0,0.0,180000.0,4,4,1,1,2.0,I,0,1969-07-18
182,5009163,0.0,0,0,0.0,157500.0,4,4,1,1,2.0,W,1,1987-10-12
183,5009166,0.0,0,0,0.0,157500.0,4,4,1,1,2.0,A,1,1987-10-12
184,5009177,0.0,C,1,0.0,229500.0,4,2,1,0,2.0,F,1,1972-12-19
185,5009178,0.0,0,1,0.0,229500.0,4,2,1,0,2.0,O,1,1972-12-19
186,5009180,0.0,C,1,0.0,229500.0,4,2,1,0,2.0,F,1,1972-12-19
187,5009181,0.0,0,1,0.0,229500.0,4,2,1,0,2.0,S,1,1972-12-19
188,5009182,0.0,C,1,0.0,229500.0,4,2,1,0,2.0,U,1,1972-12-19
189,5009183,0.0,C,1,0.0,229500.0,4,2,1,0,2.0,C,1,1972-12-19
190,5009186,0.0,0,0,0.0,270000.0,4,1,1,1,2.0,G,1,1975-01-10
191,5009187,0.0,0,0,0.0,270000.0,4,1,1,1,2.0,X,1,1975-01-10
192,5009188,0.0,C,0,0.0,270000.0,4,1,1,1,2.0,R,1,1975-01-10
193,5009189,0.0,C,0,0.0,270000.0,4,1,1,1,2.0,H,1,1975-01-10
194,5009190,0.0,C,0,0.0,270000.0,4,1,1,1,2.0,J,1,1975-01-10
195,5009192,0.0,C,0,0.0,270000.0,4,1,1,1,2.0,T,1,1975-01-10
196,5009201,0.0,0,0,0.0,292500.0,2,4,1,1,2.0,P,1,1965-10-09
197,5009202,0.0,0,0,0.0,292500.0,2,4,1,1,2.0,G,1,1965-10-09
198,5009204,0.0,0,0,0.0,292500.0,2,4,1,1,2.0,G,1,1965-10-09
199,5009205,0.0,X,0,0.0,292500.0,2,4,1,1,2.0,J,1,1965-10-09
200,5009206,0.0,C,0,0.0,292500.0,2,4,1,1,2.0,G,1,1965-10-09
201,5009208,0.0,C,0,0.0,292500.0,2,4,1,1,2.0,R,1,1965-10-09
202,5009209,0.0,0,0,0.26009536269722644,292500.0,2,4,1,1,2.0,A,1,1965-10-09
203,5009213,0.0,X,0,0.0,270000.0,4,1,1,1,2.0,E,1,1989-05-16
204,5009215,0.0,C,0,0.0,270000.0,4,1,1,1,1.7684930204360847,F,1,1989-05-16
205,5009216,0.0,C,0,0.0,270000.0,4,1,1,1,2.0,L,1,1989-05-16
206,5009217,0.0,X,0,0.0,198712.410609429,4,1,1,1,2.0,D,1,1989-05-16
207,5009220,0.0,C,0,0.0,225000.0,4,4,1,1,2.0,T,1,1982-12-25
208,5009224,0.0,C,0,0.0,225000.0,4,4,1,1,2.0,S,1,1982-12-25
209,5009226,0.0,C,0,0.0,225000.0,4,4,1,1,2.0,V,1,1982-12-25
210,5009227,0.0,0,0,0.0,225000.0,4,4,1,1,2.0,C,1,1982-12-25
211,5009232,0.0,C,0,0.0,225000.0,4,4,1,1,2.0,C,1,1982-12-25
212,5009234,0.0,X,0,0.0,225000.0,4,4,1,1,2.0,B,1,1982-12-25
213,5009236,0.0,0,0,0.0,225000.0,4,4,1,1,2.0,I,1,1982-12-25
214,5009239,0.0,C,1,0.0,157500.0,4,2,1,5,2.0,V,1,1994-02-01
215,5009241,0.0,C,1,0.0,157500.0,4,2,1,5,2.0,M,1,1994-02-01
216,5009242,0.0,C,0,0.0,74250.0,4,1,2,2,1.0,Y,1,1970-11-23
217,5009243,0.0,C,0,0.0,74250.0,4,1,2,2,1.0,D,1,1970-11-23
218,5009244,0.0,C,0,0.0,74250.0,4,1,2,2,1.0,J,1,1970-11-23
219,5009246,0.0,X,0,0.28371285515100264,135000.0,0,4,1,1,2.0,U,1,1984-04-04
220,5009248,0.0,C,0,0.0,135000.0,0,4,1,1,2.0,N,1,1984-04-04
221,5009249,0.0,C,1,1.0,135000.0,4,4,1,1,2.8600426390411107,A,1,1995-11-17
222,5009250,0.0,C,1,1.0,135000.0,4,4,1,1,3.0,J,1,1995-11-17
223,5009251,0.0,C,1,1.0,135000.0,4,4,1,1,3.0,L,1,1995-11-17
224,5009252,0.0,C,1,1.0,135000.0,4,4,1,1,3.0,D,1,1995-11-17
225,5009253,0.0,C,1,1.0,135000.0,4,4,1,1,3.0,M,1,1995-11-17
226,5009255,0.0,0,0,0.0,144000.0,4,4,3,1,1.0,T,1,1995-11-17
227,5009260,0.0,C,0,0.0,202500.0,2,1,1,1,2.0,H,1,1983-04-09
228,5009262,0.0,C,0,0.0,202500.0,2,1,1,5,2.0,S,1,1983-04-09
229,5009263,0.0,C,0,0.0,202500.0,2,1,1,5,2.0,B,1,1983-04-09
230,5009266,0.0,C,1,0.0,337500.0,2,1,1,5,2.0,M,1,1995-01-12
231,5009267,0.0,C,1,0.0,337500.0,2,1,1,5,2.0,V,1,1995-01-12
232,5009268,0.0,C,1,0.0,337500.0,2,1,1,5,2.0,Q,1,1995-01-12
233,5009269,0.0,C,1,0.0,337500.0,2,1,1,5,2.0,D,1,1995-01-12
234,5009270,0.0,0,1,0.0,180000.0,0,4,1,2,2.0,G,1,1982-09-02
235,5009272,0.0,X,1,0.0,180000.0,0,4,1,2,2.0,J,1,1982-09-02
236,5009275,0.0,X,1,0.0,180000.0,0,4,1,2,2.0,C,1,1982-09-02
237,5009276,0.0,0,1,0.0,180000.0,0,4,1,2,2.0,P,1,1982-09-02
238,5009278,0.0,C,0,0.0,130500.0,4,4,0,1,2.0,B,1,1981-09-08
239,5009280,0.0,C,0,0.0,130500.0,4,4,0,1,2.0,I,1,1981-09-08
240,5009281,0.0,X,0,0.0,130500.0,4,4,0,1,2.0,N,1,1981-09-08
241,5009284,0.0,C,0,0.0,130500.0,4,4,0,1,2.0,C,1,1981-09-08
242,5009287,0.0,0,0,0.0,130500.0,4,4,0,1,2.0,E,1,1981-09-08
243,5009289,0.0,C,0,0.0,130500.0,4,4,0,1,2.0,E,1,1981-09-08
244,5009290,0.0,C,0,0.2849103817089562,130500.0,4,4,0,1,2.0,R,1,1981-09-08
245,5009292,0.0,X,0,0.0,130500.0,4,4,0,1,2.0,J,1,1981-09-08
246,5009293,0.0,C,0,0.0,130500.0,4,4,0,1,2.0,W,1,1981-09-08
247,5009294,0.0,C,0,0.0,130500.0,4,4,0,1,2.0,X,1,1981-09-08
248,5009295,0.0,C,0,0.0,144000.0,1,4,1,1,2.0,L,0,1965-07-13
249,5009296,0.0,0,0,0.0,144000.0,1,4,1,1,2.0,R,0,1965-07-13
250,5009297,0.0,1,0,0.0,193500.0,4,4,3,2,1.0,J,1,1979-01-23
251,5009299,0.0,X,0,0.0,193500.0,4,4,3,2,1.0,T,1,1979-01-23
252,5009300,0.0,X,0,0.0,193500.0,4,4,3,2,1.0,Y,1,1979-01-23
253,5009301,0.0,C,0,0.0,193500.0,4,4,3,2,1.0,U,1,1979-01-23
254,5009302,0.0,C,0,0.0,112500.0,1,4,4,1,1.0,H,0,1962-09-27
255,5009304,0.0,C,0,0.0,112500.0,1,4,4,1,1.0,U,0,1962-09-27
256,5009305,0.0,0,0,0.0,112500.0,1,4,4,1,1.0,Y,0,1962-09-27
257,5009307,0.0,C,0,0.0,135000.0,1,4,1,1,2.0,W,0,1967-12-31
258,5009308,0.0,C,0,0.0,135000.0,1,4,1,1,2.0,K,0,1967-12-31
259,5009309,0.0,C,0,0.0,135000.0,1,4,1,1,2.0,R,0,1967-12-31
260,5009313,0.0,0,0,0.0,135000.0,1,4,1,1,2.0,C,0,1967-12-31
261,5009314,0.0,0,0,0.0,135000.0,1,4,1,1,2.0,Z,0,1967-12-31
262,5009315,0.0,0,0,0.0,135000.0,1,4,1,1,2.0,R,0,1967-12-31
263,5009316,0.0,C,0,0.0,135000.0,1,4,1,1,2.0,Q,0,1967-12-31
264,5009319,0.0,C,0,0.0,151431.50298053533,1,4,1,1,2.0,B,0,1967-12-31
265,5009325,0.0,X,1,0.0,267750.0,4,1,1,1,2.0,P,0,1965-09-01
266,5009330,0.0,C,1,0.0,267750.0,4,1,1,1,2.0,J,1,1965-09-01
267,5009335,0.0,0,0,0.0,139500.0,4,1,2,1,1.0,Y,1,1978-10-11
268,5009338,0.0,0,1,0.0,67500.0,4,4,1,1,2.0,P,1,1972-01-05
269,5009343,0.0,C,1,0.0,252000.0,4,4,1,1,2.0,B,1,1993-09-15
270,5009344,0.0,0,1,0.0,252000.0,4,4,1,1,2.0,D,1,1993-09-15
271,5009345,0.0,C,1,0.0,252000.0,4,4,1,1,2.0,G,1,1993-09-15
272,5009346,0.0,0,1,0.0,252000.0,4,4,1,1,2.0,F,1,1993-09-15
273,5009349,0.0,X,1,0.0,180000.0,0,3,1,1,2.0,A,1,1965-03-21
274,5009354,0.0,X,1,0.0,180000.0,0,3,1,1,2.0,Q,1,1965-03-21
275,5009355,0.0,0,0,0.0,135000.0,0,4,1,1,2.0,Q,1,1969-03-23
276,5009358,0.0,X,0,0.0,135000.0,0,4,1,1,2.0,T,1,1969-03-23
277,5009359,0.0,C,0,0.0,900000.0,4,1,3,1,1.0,R,1,1970-12-12
278,5009360,0.0,0,0,0.0,900000.0,4,1,3,1,1.0,G,1,1970-12-12
279,5009362,0.0,0,1,0.0,180000.0,0,1,0,1,2.0,W,1,1982-06-08
280,5009363,0.0,C,1,0.0,180000.0,0,1,0,1,2.0,J,1,1982-06-08
281,5009364,0.0,0,1,0.0,180000.0,0,1,0,1,1.7679900253812955,J,1,1982-06-08
282,5009365,0.0,C,1,0.0,180000.0,0,1,0,1,2.0,Z,1,1982-06-08
283,5009366,0.0,C,1,0.0,180000.0,0,1,0,1,2.0,N,1,1982-06-08
284,5009367,0.0,C,1,0.2678484088080102,180000.0,0,1,0,1,2.0,B,1,1982-06-08
285,5009370,0.0,0,1,0.0,115290.0,1,4,1,1,2.0,H,0,1959-08-28
286,5009373,0.0,C,1,0.0,115290.0,1,4,1,1,2.0,S,0,1959-08-28
287,5009378,0.0,C,0,2.0,225000.0,4,1,1,1,4.0,Y,1,1992-04-02
288,5009381,0.0,C,1,1.0,135000.0,4,4,1,1,3.0,H,1,1997-04-27
289,5009383,0.0,C,0,0.0,450000.0,2,1,1,1,2.0,S,1,1982-11-04
290,5009384,0.0,C,0,0.0,450000.0,2,1,1,1,2.0,D,1,1982-11-04
291,5009386,0.0,X,0,0.0,450000.0,2,1,1,1,2.0,D,1,1982-11-04
292,5009387,0.0,0,0,0.0,450000.0,2,1,1,1,2.0,A,1,1982-11-04
293,5009391,0.0,0,1,0.0,279000.0,2,1,3,1,1.0,R,1,1992-11-27
294,5009393,0.0,C,1,0.0,279000.0,2,1,3,1,1.0,M,1,1992-11-27
295,5009394,0.0,0,1,0.0,279000.0,2,1,3,1,1.0,G,1,1992-11-27
